No,Compte,Intitulé / libellé compte,Classe,,,
1,101000,Capital social,1,,,
2,101100,Capital souscrit,1,1,,
3,101200,Capital souscrit,1, non versé,1,
4,101300,Capital souscrit,1, versé, non amorti,1
5,101400,Capital souscrit,1, versé, amorti,1
6,101800,Capital souscrit soumis à des conditions particulières,1,,,
7,102000,Capital par dotation,1,,,
8,102100,Dotation sociale,1,,,
9,102200,Dotations complémentaires,1,,,
10,102800,Autres dotaions,1,,,
11,103000,Capital personnel,1,,,
12,104000,Compte de l'exploitant,1,,,
13,104100,apports temporaires,1,,,
14,104200,opérations courantes,1,,,
15,104300,rémunérations,1,1,,
16,104700,prélèvements d'autoconsommation,1,,,
17,104800,autres pélèvements,1,,,
18,105000,PRIMES LIEES AUX CAPITAUX PROPRES,1,,,
19,105100,primes d'émission,1,,,
20,105200,primes d'apport,1,,,
21,105300,primes de fusion,1,,,
22,105400,primes de conversion,1,,,
23,105800,autres primes,1,,,
24,106000,ECARTS DE REEVALUATION,1,,,
25,106100,écart de réévaluation légale,1,,,
26,106200,écart de réévaluation libre,1,,,
27,109000,ACTIONNAIRES,1, NON-APPELE,1,
28,110000,RESERVES,1,,,
29,111000,réserve légale,1,,,
30,112000,réserves statutaires ou contractuelles,1,,,
31,113000,RESERVES REGLEMENTEES,1,,,
32,113100,réserves de plus-values nettes à long terme,1,,,
33,113300,réserves consécutives à l'octroi de subventions d'investissement,1,,,
34,113800,autres réserves réglementées,1,,,
35,118000,AUTRES RESERVES,1,,,
36,118100,réserves facultatives,1,,,
37,118800,réserves diverses,1,,,
38,120000,REPORT A NOUVEAU,1,,,
39,121000,réport à nouveau créditeur,1,,,
40,129000,réport à nouveau débiteur,1,,,
41,129100,perte nette à reporter,1,,,
42,129200,perte-amortissements réputés différés,1,,,
43,130000,RESULTAT NET DE L'EXERCICE,1,,,
44,130100,résultat en instance d'affectation: bénéfice,1,,,
45,130200,résultat en instance d'affectation: perte,1,,,
46,131000,RESULTAT NET: BENEFICE,1,,,
47,132000,MARGE BRUTE (M..B.),1,,,
48,132100,marge brute sur marchandises,1,,,
49,132200,marges brutes sur matières,1,,,
50,133000,VALEUR AJOUTEE (V.A.),1,,,
51,134000,EXCEDENT BRUTE D'EXPLOITATION (E.B.E.),1,,,
52,135000,RESULTAT D'EXPLOITATION (R.E.),1,,,
53,136000,RESULTAT FINANCIER (R.F.),1,,,
54,137000,RESULTAT DES ACTIVITES ORDINAIRES (R.A.O.),1,,,
55,138000,RESULTAT HORS ACTIVITES ORDINAIRES (R.H.A.O.),1,,,
56,139000,RESULTAT NET: PERTE,1,,,
57,140000,SUBVENTION D'INVESTISSEMENT,1,,,
58,141000,SUBVENTION D'EQUIPEMENT A,1,,,
59,141100,état,1,,,
60,141200,régions,1,,,
61,141300,départements,1,,,
62,141400,communes et collectivités,1,,,
63,141500,entreprises publiques ou mixtes,1,,,
64,141600,entreprises et organismes privés,1,,,
65,141700,organisations internationales,1,,,
66,141800,autres,1,,,
67,142000,SUBVENTION D'EQUIPEMENT B,1,,,
68,148000,AUTRES SUBVENTIONS D'EQUIPEMENT,1,,,
69,150000,PROVISIONS REGLEMENTEES ET FONDS ASSIMILES,1,,,
70,151000,amortissements dérogatoires,1,,,
71,152000,plus-values de cession à réinvestir,1,,,
72,153000,FONDS REGLEMENTE,1,,,
73,153100,fonds national,1,,,
74,153200,prélèvement pour le budget,1,,,
75,154000,provisions spéciale de réévaluation,1,,,
76,155000,PROVISIONS REGLEMENTEES RELATIVES AUX IMMOBILISATIONS,1,,,
77,155100,réconstitution des gisements miniers et pétroliers,1,,,
78,156000,PROVISIONS REGLEMENTEES RELATIVES AUX STOCKS,1,,,
79,156100,hausse de prix,1,,,
80,156200,fluctuations des cours,1,,,
81,157000,provision pour investissement,1,,,
82,158000,autres provisions et fonds reglementes,1,,,
83,160000,EMPRUNTS ET DETTES ASSIMILEES,1,,,
84,161000,EMPRUNTS OBLIGATAIRES,1,,,
85,161100,emprunts obligataires ordinaires,1,,,
86,161200,emprunts obligataires convertibles,1,,,
87,161800,autres emprunts obligataires,1,,,
88,162000,emprunts et dettes auprès des établissments de crédit,1,,,
89,163000,avances réçues de l'Etat,1,,,
90,164000,avances reçues et comptes courants bloqués,1,,,
91,165000,DEPOTS ET CAUTIONNEMENT RECUS,1,,,
92,165100,dépôts,1,,,
93,165200,cautionnements,1,,,
94,166000,INTERETS COURUS,1,,,
95,166100,sur emprunts obligataires,1,,,
96,166200,sur emprunts et dettes auprès des établissements de crédit,1,,,
97,166300,sur avances réçes de l'Etat,1,,,
98,166400,sur avances réçues et comptes courants bloqués,1,,,
99,166500,sur dépôts et cautionnements réçus,1,,,
100,166600,sur avances assorties de conditions particulières,1,,,
101,166700,intérêts courus sur autres emprunts et dettes,1,,,
102,167000,AVANCES ASSORTIES DE CONDITIONS PARTICULIERES,1,,,
103,167100,avances bloquées pour augmentation du capital,1,,,
104,167200,avances conditionnées par l'Etat,1,,,
105,167300,avances conditionnées par les autres organismes africains,1,,,
106,167400,avances conditionnées par les organismes internationaux,1,,,
107,167500,droits du concédants exigibles en nature,1,,,
108,168000,AUTRES EMPRUNTS ET DETTES,1,,,
109,168100,rentes viagères capitalisées,1,,,
110,168200,billets de fonds,1,,,
111,168300,dettes consécutives à des titres empruntés,1,,,
112,168400,dettes du concédant exigibles en nature,1,,,
113,168500,emprunts participatifs,1,,,
