numero;libelle;classe;sens;lettrable;collectif;niveau;compte_mere;actif
1;COMPTES DE RESSOURCES DURABLES;1;C;false;false;0;;true
10;CAPITAL SOCIAL;1;C;false;false;1;1;true
101000;CAPITAL SOCIAL;1;C;false;false;2;10;true
101100;Capital souscrit, non appelé;1;C;false;false;3;101000;true
101200;Capital souscrit, appelé, non versé;1;C;false;false;3;101000;true
101300;Capital souscrit, appelé, versé non amorti;1;C;false;false;3;101000;true
101400;Capital souscrit, appelé, versé, amorti;1;C;false;false;3;101000;true
101800;Capital souscrit soumis à des conditions particulières;1;C;false;false;3;101000;true
102000;CAPITAL PAR DOTATION;1;C;false;false;2;10;true
102100;Dotation initiale;1;C;false;false;3;102000;true
102200;Dotation complémentaire;1;C;false;false;3;102000;true
102800;Autres dotations;1;C;false;false;3;102000;true
103000;CAPITAL PERSONNEL;1;C;false;false;2;10;true
104000;COMPTE DE L'EXPLOITANT;1;C;false;false;2;10;true
104100;Apport temporaire;1;C;false;false;3;104000;true
104200;Opérations courantes. personnelles;1;C;false;false;3;104000;true
104700;Prélèvement d'autoconsommation;1;C;false;false;3;104000;true
104800;Autres prélèvement;1;C;false;false;3;104000;true
105000;PRIMES LIEES AUX CAPITAUX PROPRES;1;C;false;false;2;10;true
105100;Primes d'émission;1;C;false;false;3;105000;true
105200;Primes d'apport;1;C;false;false;3;105000;true
105300;Primes de fusion;1;C;false;false;3;105000;true
105400;Primes de conversion;1;C;false;false;3;105000;true
105800;Autres primes;1;C;false;false;3;105000;true
106000;ECART DE REEVALUATION;1;C;false;false;2;10;true
106100;Ecart de réévaluation légale;1;C;false;false;3;106000;true
106200;Ecart de réévaluation libre;1;C;false;false;3;106000;true
109000;APPORTEUR, CAPITAL SOUSCRIT, NON APPELE;1;C;false;false;2;10;true
11;RESERVES;1;C;false;false;1;1;true
111000;RESERVE LEGALE;1;C;false;false;2;11;true
112000;RESERVES STATUTAIRES OU CONTRACTUELLES;1;C;false;false;2;11;true
113000;RESERVES REGLEMENTEES;1;C;false;false;2;11;true
113100;Réserves de plus-values nettes à long terme;1;C;false;false;3;113000;true
113200;Réserves d'attribution gratuite d'actions au personnel salarié et aux dirigeants;1;C;false;false;3;113000;true
113300;Réserve consécutive à l'octroi de subvention d'investissement;1;C;false;false;3;113000;true
113400;Réserve des valeurs mobilières donnant accès au capital;1;C;false;false;3;113000;true
113800;Autres réserves réglementées;1;C;false;false;3;113000;true
118000;AUTRES RESERVES;1;C;false;false;2;11;true
118100;Réserves facultatives;1;C;false;false;3;118000;true
118800;Réserves diverses;1;C;false;false;3;118000;true
12;REPORT A NOUVEAU;1;C;false;false;1;1;true
120000;Report à nouveau;1;C;false;false;3;12;true
121000;REPORT A NOUVEAU CREDITEUR;1;C;false;false;2;12;true
129000;REPORT A NOUVEAU DEBITEUR;1;C;false;false;2;12;true
129100;Perte nette à reporter;1;C;false;false;3;129000;true
129200;Perte - Amortissements réputés différés;1;C;false;false;3;129000;true
13;RESULTAT NET DE L'EXERCICE;1;C;false;false;1;1;true
130000;RESULTAT EN INSTANCE D'AFFECTATION;1;C;false;false;2;13;true
130100;Résultat en instance d'affectation : Bénéfice;1;C;false;false;3;130000;true
130200;Résultat en instance d'affectation : Perte;1;C;false;false;3;130000;true
131000;RESULTAT NET : BENEFICE;1;C;false;false;2;13;true
132000;MARGE COMMERCIALE (MC);1;C;false;false;2;13;true
133000;VALEUR AJOUTEE (V.A);1;C;false;false;2;13;true
134000;EXCEDENT BRUT D'EXPLOITATION (E.B.E);1;C;false;false;2;13;true
